Ngày,Nhiệt độ tối thiểu hàng ngày,Nhiệt độ tối đa hàng ngày,Mức gió ổn định tối đa,Gió giật tối đa,Tổng lượng mưa hàng ngày,Độ dày của tuyết,Áp suất,Biểu tượng,Mô tả
6/11/2016,            25°C,            32°C,            26 Km/h,            N/A,"            12,1mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/12/2016,            26°C,            32°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/13/2016,            24°C,            32°C,            34 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/14/2016,            23°C,            32°C,            34 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/15/2016,            24°C,            32°C,            29 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/16/2016,            25°C,            32°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/17/2016,            25°C,            34°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/18/2016,            26°C,            35°C,            22 Km/h,            39 Km/h,            0mm,            N/A,            N/A,            ,            Giông bão
6/19/2016,            27°C,            36°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/20/2016,            26°C,            36°C,            31 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
6/21/2016,            26°C,            35°C,            15 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
6/22/2016,            24°C,            29°C,            29 Km/h,            N/A,"            5,5mm",            N/A,            N/A,            ,            Mưa
6/23/2016,            26°C,            35°C,            28 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
6/24/2016,            27°C,            37°C,            28 Km/h,            46 Km/h,            0mm,            N/A,            N/A,            ,            Mưa
6/25/2016,            26°C,            36°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/26/2016,            25°C,            37°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/27/2016,            26°C,            38°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/28/2016,            27°C,            38°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
